epoch,MCSIMULATION,USER,DATASTRIPPING,DATARECONSTRUCTION,MERGE,MCRECONSTRUCTION,TURBO,MCStripping,MCMERGE
0,9.05,3.944,0.216,2.353,0.041,1.545,2.482,0.0,0.0,
1,9.016,3.388,4.41,1.974,0.0,2.501,1.418,0.018,0.0,
2,9.444,5.167,0.0,3.492,3.837,0.589,7.635,0.0,0.0,
3,9.045,3.486,0.0,2.616,0.004,1.938,3.231,0.0,0.0,
4,8.927,4.379,0.256,3.25,0.535,1.249,2.736,0.0,0.0,
5,9.178,2.654,0.63,1.953,0.004,1.301,1.584,0.0,0.0,
6,9.009,4.211,4.19,3.603,1.313,0.75,0.519,0.0,0.0,
7,9.254,3.133,0.206,2.763,0.0,2.719,2.641,0.0,0.0,
8,9.125,4.459,0.021,2.629,0.0,5.731,0.0,1.184,0.0,
9,9.263,4.078,0.0,3.297,3.899,4.114,1.707,0.37,0.0,
10,8.99,3.968,0.0,5.014,0.0,2.013,0.249,0.0,0.0,
11,9.034,4.002,1.978,2.603,2.546,1.643,1.604,0.263,0.0,
12,9.288,5.627,0.167,3.158,0.0,0.299,0.098,5.095,0.0,
13,9.115,3.485,0.0,3.291,0.198,0.125,2.895,0.0,0.0,
14,8.919,2.715,0.077,1.809,0.776,1.836,0.217,0.004,0.0,
15,9.399,1.881,0.0,1.588,0.0,0.0,0.0,0.0,0.0,
16,9.406,3.231,0.0,2.28,0.0,1.66,2.52,0.0,0.0,
17,9.1,3.715,0.414,2.854,3.458,1.24,2.85,0.0,0.0,
18,9.085,2.741,0.466,1.684,2.206,0.81,1.259,3.495,0.0,
19,9.117,2.97,1.659,3.046,0.0,2.131,2.356,0.0,0.0,
20,8.911,4.82,0.0,3.864,0.0,5.727,0.438,0.0,0.0,
21,9.585,3.591,0.0,2.164,0.0,0.0,0.0,0.0,0.0,
22,8.925,4.501,0.0,3.214,0.0,0.125,2.077,0.0,0.0,
23,9.147,3.046,2.619,2.633,3.096,2.12,0.058,0.0,0.0,
24,9.063,4.2,2.585,2.801,1.856,1.741,2.865,0.394,0.0,
25,9.737,7.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
